Date,Notice
14-1-19,"Revised syllabus of B.Sc. (Major) course of study in ""Industrial Fish & Fisheries"" under CBCS"
26-12-18,"Reference No. CUS/526/18 Dated 28th November, 2018  [Direct and Indirect Taxes of Semester wise B.Com. (Honours & General) under CBCS]"
29-11-18,Notification No. CSR/56/18  [Regulations of 5-years B.A. LL.B./B.A. LL.B (Honours) course under Choice Based Credit System (CBCS)]
22-11-18,Notification No. CSR/106/18 [Some amendments in the Admission and Examination Regulations for Semester wise three year B.A./B.Sc./B.Mus (Honours/General) courses of studies under CBCS system]
31-10-18,Model Questions for Internal Examination and Tutorial Examination  for both Honours and General Courses of Studies in Persian
27-10-18,Notice (No. DR/19/2018/DM Date: 26-10-18)  [Registration of undergraduate students under CBCS]
29-8-18,Notification No. CSR/83/18 Dt. 29th August [Amendments --- Three-year B.A. (Honours) course of study in English under CBCS]
21-8-18,Amendments --- 1st and 2nd Semester Syllabus of B.Sc. Computer Science (Honours)
8-8-18,"Undergraduate Syllabus --- Bengali (Honours, General, LCC2, AECC1)"
25-7-18,"Notification No. CSR/22/18 Dt. 25th July, 2018 [French Syllabus (Honours) Under Choice Based Credit System]"
20-7-18,"Undergraduate Syllabus --- Urdu (Honours, General, LCC2, AECC1)"
3-7-18,3 Year B.A./B.Sc. (Honours) in Library and Information Studies Under CBCS
19-6-18,Undergraduate Syllabus --- Persian (Honours & General)
18-6-18,Undergraduate Syllabus --- Industrial Fish and Fisheries- IFFV (Major)
18-6-18,Undergraduate Syllabus --- French (General)
18-6-18,Undergraduate Syllabus --- Social Science (General)
15-6-18,Undergraduate Syllabus --- Sericulture - SRTV (Major)
14-6-18,Undergraduate Syllabus --- Arabic (Honours & General)
14-6-18,Undergraduate Syllabus --- Tourism & Travel Management TTMV (Major)
14-6-18,Undergraduate Syllabus --- Advertising sales promotion & sales management - ASPV (Major)
13-6-18,Undergraduate Syllabus --- Human Development (Honours & General)
13-6-18,Undergraduate Syllabus --- Food and Nutrition (Honours & General)
13-6-18,Undergraduate Syllabus --- Bachelor of Fine Arts (B.F.A) (Honours)
12-6-18,Undergraduate Syllabus --- Film Studies (General)
11-6-18,Undergraduate Syllabus --- Bachelor of Business Administration (BBA) (Honours)
11-6-18,Undergraduate Syllabus --- Computer Application (CMAV) (Major)
8-6-18,Undergraduate Syllabus --- Sanskrit (Honours & General)
7-6-18,Undergraduate Syllabus --- Clinical Nutrition and dietetics CNDV (Major)
7-6-18,Undergraduate Syllabus --- Physiology (Honours & General)
7-6-18,Undergraduate Syllabus --- Mol. Biology (General)
7-6-18,Undergraduate Syllabus --- Bachelor of Fashion and Apparel Design (B.F.A.D) (Honours)
7-6-18,Undergraduate Syllabus --- Physical Education (General)
7-6-18,Undergraduate Syllabus --- Home Science Extension Education (General)
7-6-18,Undergraduate Syllabus --- Geography (Honours & General)
7-6-18,Undergraduate Syllabus --- Communicative English (Major)
7-6-18,Undergraduate Syllabus --- B. Music (Honours & General) and Music (General)
7-6-18,Undergraduate Syllabus --- Economics (Honours & General)
7-6-18,Undergraduate Syllabus --- Women Studies (General)
6-6-18,Undergraduate Syllabus --- Sociology (Honours & General)
6-6-18,Undergraduate Syllabus --- Political Science (Honours & General)
6-6-18,Undergraduate Syllabus --- Philosophy (Honours & General)
6-6-18,Undergraduate Syllabus --- Journalism and Mass Communication (Honours & General)
6-6-18,Undergraduate Syllabus --- Human Rights (General)
6-6-18,"Undergraduate Syllabus --- Hindi (Honours,General, LCC2, AECC1)"
6-6-18,Undergraduate Syllabus --- Islamic History (Honours & General)
6-6-18,Undergraduate Syllabus --- History (Honours & General)
6-6-18,Undergraduate Syllabus --- Education (Honours & General)
6-6-18,"Undergraduate Syllabus --- English (Honours, General, LCC1, LCC2, AECC1)"
6-6-18,Undergraduate Syllabus --- Electronics (Honours & General)
6-6-18,Undergraduate Syllabus --- Zoology (Honours & General)
6-6-18,Undergraduate Syllabus --- Statistics (Honours & General)
6-6-18,Undergraduate Syllabus --- Psychology (Honours & General)
6-6-18,Undergraduate Syllabus --- Physics (Honours & General)
6-6-18,Undergraduate Syllabus --- Microbiology (Honours & General)
6-6-18,Undergraduate Syllabus --- Mathematics (Honours & General)
6-6-18,Undergraduate Syllabus --- House Hold Art (General)
6-6-18,Undergraduate Syllabus --- Geology (Honours & General)
5-6-18,Undergraduate Syllabus -- Environmental Studies (AECC2)
5-6-18,Undergraduate Syllabus --- Environmental Science (Honours & General)
5-6-18,Undergraduate Syllabus --- Defence Studies (General)
5-6-18,Undergraduate Syllabus --- Computer Science (Honours & General)
5-6-18,Undergraduate Syllabus --- Botany (Honours & General)
5-6-18,Undergraduate Syllabus --- Chemistry (Honours & General)
5-6-18,Undergraduate Syllabus --- Biochemistry (Honours & General)
5-6-18,Undergraduate Syllabus --- Anthropology (Honours & General)
30-5-18,Some amendments in the Examination Regulations for B.Com. (Honours & General) courses of study  under CBCS
30-5-18,Admission and Examination Regulations for the three year (six semester) in B.F.A.D.(Honours) under CBCS
30-5-18,Admission and Examination Regulations for the four year (eight semester) in Bachelor of Fine-Arts (B.F.A.) course of study under CBCS
30-5-18,Admission and Examination Regulations for semester wise three year B.B.A. (Honours) course of study under CBCS
7-5-18,Admission and Examination Regulations for Semester wise Three year B.A. / B.Sc. / B.Mus. (Honours/General) courses of studies under Choice Based Credit System (CBCS)
7-5-18,Admission and Examination Regulations for Semester wise Three year B.A. / B.Sc. / B.Com. (Major) courses of studies under Choice Based Credit System (CBCS)
14-9-17,New revised Examination Regulation for semesterised three-year B.Com. (Honours and General) Courses of Studies under CBCS
26-5-17,New Course Structure & Syllabi and revised Admission Regulations for the B.Com. (Honours and General) courses
