New Revised Syllabus,Revised Syllabus,Old Syllabus
,PG Professional Diploma Syllabus,
,,
,,
B.Tech Lesson Plans,,
ECE Lesson Plan(Provisional),,
Math Lesson Plan(Provisional),,
,,
,,
List of MOOC's for Honours Degree,,
MOOC's for Civil Engineering,,
MOOC's for EEE & EE,,
MOOC's for Architecture,,
MOOC's for Instrumentation and Control Engineering,,
MOOC's for Leather Technology,,
MOOC's for Textile Technology,,
MOOC's for Mechanical Engineering,,
MOOC's for Applied Electronics and Instrumentation,,
MOOC's for Automobile Engineering,,
MOOC's for Biomedical Engineering,,
MOOC's for Chemical Engineering,,
MOOC's for Food Technology,,
MOOC's for Hotel Management and Catering Technology,,
MOOC's for Apparel & Production Technology,,
MOOC's for Biotechnology,,
MOOC's for Civil and Environmental Engineering,,
MOOC's list of NON-AICTE,,
MOOC's list for 1st Year 2019,,
Non-AICTE MOOCs 2nd & 3rd Year,,
B.Tech 1st year MOOCs Jan 2020,,
AICTE-UG MOOCs(2nd to 4th Year),,
Non-AICTE 1st Yr MOOCs Jan 2020,,
,,
,,
,,
